,C10,SVEC,RAW
187,0.21695033,0.13480848,0.6482412
188,0.2612234,0.2335212,0.5052554
189,0.3736792,0.44999593,0.17632496
190,0.35806566,0.17410791,0.4678265
191,0.2807839,0.5798046,0.13941152
192,0.3950745,0.15964077,0.44528475
193,0.41105947,0.24995631,0.3389842
194,0.32704312,0.3302836,0.3426733
195,0.27506486,0.35365218,0.37128294
196,0.28030303,0.3158302,0.40386683
197,0.3362946,0.2856191,0.37808624
198,0.2681437,0.53277665,0.19907963
199,0.28010038,0.33854735,0.38135228
200,0.39765847,0.4307687,0.17157286
201,0.41217473,0.30627552,0.2815498
202,0.3163801,0.43861508,0.24500486
203,0.48745635,0.25915852,0.2533851
204,0.34763,0.43164784,0.22072214
205,0.33143225,0.2938261,0.3747417
206,0.39676064,0.45672965,0.14650975
207,0.2963232,0.13095175,0.572725
208,0.4090526,0.23945576,0.3514916
209,0.3888274,0.12911552,0.4820571
210,0.36350268,0.28113964,0.35535762
211,0.39007312,0.4971173,0.11280961
212,0.25082445,0.33087334,0.4183022
213,0.3493009,0.25249782,0.39820132
214,0.32865041,0.56245303,0.108896546
215,0.44430387,0.351756,0.20394005
216,0.36263308,0.3175796,0.31978735
217,0.3830473,0.4683937,0.14855896
218,0.38709393,0.51898694,0.0939191
219,0.27161455,0.17726387,0.5511216
220,0.17851512,0.14893934,0.67254555
221,0.30685025,0.39330012,0.29984963
222,0.41785803,0.23522191,0.34692007
223,0.3269155,0.27895376,0.3941307
224,0.2412316,0.29710552,0.46166295
225,0.30341274,0.3373464,0.35924083
226,0.25775504,0.39918584,0.34305915
227,0.29910356,0.35767263,0.34322384
228,0.37518108,0.19074458,0.43407437
229,0.37411782,0.28990373,0.3359785
230,0.47057018,0.39152992,0.13789992
231,0.2926293,0.3671573,0.34021345
232,0.44351068,0.25062758,0.3058617
233,0.34612837,0.33740038,0.31647128
234,0.40148115,0.09941879,0.49910003
235,0.30361587,0.32988513,0.36649898
236,0.31288108,0.5969964,0.09012247
237,0.29620248,0.17541662,0.52838093
238,0.44088143,0.31912866,0.23998988
239,0.31444573,0.30787623,0.3776781
240,0.3397602,0.3116235,0.34861627
241,0.26003218,0.27468035,0.4652875
242,0.40318698,0.50638354,0.09042945
243,0.31073818,0.103602424,0.58565944
244,0.4167459,0.17531419,0.40793988
245,0.33981603,0.20343222,0.45675176
246,0.21349537,0.27776596,0.50873864
247,0.22861493,0.3544734,0.41691163
248,0.38666567,0.35307476,0.2602596
249,0.22356108,0.33921286,0.43722603
250,0.3137325,0.55252254,0.13374493
251,0.37128353,0.39928567,0.22943081
252,0.3612498,0.31163615,0.32711402
253,0.4514149,0.34914464,0.1994405
254,0.39744547,0.3267867,0.27576786
255,0.29285228,0.31946975,0.387678
256,0.36610812,0.32316005,0.3107318
257,0.26908055,0.24208874,0.48883066
258,0.46104917,0.18330681,0.355644
259,0.38867044,0.3951015,0.21622808
260,0.4069585,0.48422158,0.108819954
261,0.41896203,0.17268531,0.40835264
262,0.28955942,0.35559544,0.35484514
263,0.34036383,0.33101296,0.3286232
264,0.38038334,0.25463086,0.36498582
265,0.19866739,0.2864115,0.5149211
266,0.38077423,0.34148273,0.27774304
267,0.2711615,0.37724295,0.35159555
268,0.29834664,0.3837339,0.31791943
269,0.30426168,0.36246327,0.33327502
270,0.26167357,0.35088307,0.3874433
271,0.3463491,0.12664472,0.5270062
272,0.22322476,0.29363534,0.48313987
273,0.40664902,0.2713451,0.3220059
274,0.3464832,0.29132295,0.36219382
275,0.3655794,0.32025635,0.31416428
276,0.34546345,0.33411276,0.3204238
277,0.43338725,0.3305982,0.23601452
278,0.27863348,0.42177823,0.2995883
279,0.2461711,0.4610407,0.2927882
280,0.39803272,0.29145324,0.310514
281,0.27391997,0.39906535,0.3270147
282,0.31663194,0.5469647,0.13640341
283,0.35296026,0.25461948,0.39242026
284,0.31921303,0.34274712,0.33803985
285,0.33451265,0.33820137,0.32728598
286,0.35859385,0.32752892,0.31387728
287,0.2396985,0.38816246,0.37213904
288,0.34316823,0.17620203,0.4806298
289,0.34154958,0.32713297,0.33131745
290,0.36885947,0.31966114,0.3114793
291,0.41668564,0.29893085,0.28438348
292,0.18033807,0.5462217,0.27344024
293,0.28324872,0.37429723,0.34245408
294,0.37240607,0.35539222,0.27220175
295,0.468228,0.3278359,0.2039361
296,0.3561762,0.30899587,0.3348279
297,0.26231766,0.36110538,0.37657696
298,0.37713507,0.52188146,0.10098349
299,0.39919108,0.18748382,0.4133251
300,0.25850952,0.33902028,0.40247026
301,0.3350856,0.4040688,0.26084563
302,0.46393412,0.39192516,0.14414078
303,0.31304634,0.4644338,0.22251987
304,0.34025738,0.18213215,0.47761047
305,0.40753773,0.53117716,0.061285075
306,0.35746336,0.24166413,0.40087253
307,0.33580226,0.26469326,0.39950448
308,0.34967318,0.16563638,0.48469037
309,0.41589883,0.35445058,0.2296506
310,0.38642937,0.42025822,0.19331235
311,0.45795354,0.2958523,0.2461942
312,0.41393214,0.30487505,0.28119284
313,0.4615736,0.37207088,0.16635558
314,0.3532232,0.4152949,0.23148188
315,0.35470676,0.39481702,0.25047615
316,0.44360653,0.36678812,0.18960539
317,0.20756382,0.3957694,0.3966668
318,0.26436695,0.3228413,0.4127918
319,0.26701698,0.48900044,0.24398258
320,0.34903723,0.550958,0.100004815
321,0.39153668,0.42248118,0.18598217
322,0.32203305,0.44177485,0.23619217
323,0.319689,0.3685866,0.3117244
324,0.39449537,0.276633,0.32887164
325,0.3860242,0.4078366,0.20613925
